jv_spec_mie.dat: Aerosol optical properties at 5 wavelengths (clh, 01/30/10)
================================================================================
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
W(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
  200  2.1045  3.721  0.582 1.000 2.769 4.422 5.990 7.568 9.129 10.687 12.200
  300  2.1045  3.721  0.582 1.000 2.769 4.422 5.990 7.568 9.129 10.687 12.200
  400  2.1191  3.721  0.742 1.000 2.580 3.887 4.812 6.027 7.005  8.295  9.268
  600  2.2094  3.721  0.925 1.000 2.402 3.575 4.016 5.102 5.567  6.724  7.229
  999  2.3429  3.721  0.956 1.000 2.358 3.499 3.877 4.861 5.221  6.222  6.690
22 S00(rvm) Trop sulfate at RH=00 (n@550=1.43 log-norm: r_g=.07um/sigma=1.6)
  200  2.0464  0.120  1.0000  1.000 2.101 2.395 2.026 1.560 1.092 0.738 0.480
  300  2.0464  0.120  1.0000  1.000 2.101 2.395 2.026 1.560 1.092 0.738 0.480
  400  1.2147  0.120  1.0000  1.000 2.010 2.120 1.625 1.128 0.705 0.431 0.250
  600  0.4955  0.120  1.0000  1.000 1.711 1.573 0.962 0.538 0.264 0.129 0.056
 1000  0.1185  0.120  1.0000  1.000 1.144 0.946 0.364 0.122 0.031 0.007 0.001
23 S50(rvm) Trop sulfate at RH=50 (n@550=1.37 log-norm: r_g=.10um/sigma=1.6)
  200  2.4236  0.170  1.0000  1.000 2.301 2.919 2.825 2.493 2.022 1.567 1.186
  300  2.4236  0.170  1.0000  1.000 2.301 2.919 2.825 2.493 2.022 1.567 1.186
  400  1.6566  0.170  1.0000  1.000 2.248 2.690 2.432 1.979 1.470 1.047 0.719
  600  0.7954  0.170  1.0000  1.000 2.032 2.152 1.651 1.143 0.714 0.437 0.255
 1000  0.2314  0.170  1.0000  1.000 1.547 1.377 0.762 0.381 0.167 0.071 0.026
24 S70(rvm) Trop sulfate at RH=70 (n@550=1.36 log-norm: r_g=.11um/sigma=1.6)
  200  2.5701  0.189  1.0000  1.000 2.338 3.033 3.019 2.748 2.307 1.850 1.451
  300  2.5701  0.189  1.0000  1.000 2.338 3.033 3.019 2.748 2.307 1.850 1.451
  400  1.8440  0.189  1.0000  1.000 2.299 2.834 2.662 2.252 1.744 1.292 0.925
  600  0.9340  0.189  1.0000  1.000 2.113 2.328 1.888 1.377 0.910 0.585 0.360
 1000  0.2903  0.189  1.0000  1.000 1.667 1.537 0.925 0.504 0.244 0.116 0.049
25 S80(rvm) Trop sulfate at RH=80 (n@550=1.35 log-norm: r_g=.12um/sigma=1.6)
  200  2.6800  0.205  1.0000  1.000 2.356 3.100 3.140 2.916 2.504 2.055 1.653
  300  2.6800  0.205  1.0000  1.000 2.356 3.100 3.140 2.916 2.504 2.055 1.653
  400  1.9973  0.205  1.0000  1.000 2.330 2.929 2.819 2.447 1.950 1.483 1.093
  600  1.0565  0.205  1.0000  1.000 2.167 2.453 2.065 1.561 1.072 0.712 0.454
 1000  0.3424  0.205  1.0000  1.000 1.753 1.662 1.061 0.612 0.316 0.160 0.075
26 S90(rvm) Trop sulfate at RH=90 (n@550=1.35 log-norm: r_g=.14um/sigma=1.6)
  200  2.8346  0.234  1.0000  1.000 2.380 3.196 3.316 3.175 2.821 2.402 2.009
  300  2.8346  0.234  1.0000  1.000 2.380 3.196 3.316 3.175 2.821 2.402 2.009
  400  2.2568  0.234  1.0000  1.000 2.373 3.070 3.063 2.765 2.300 1.825 1.407
  600  1.2891  0.234  1.0000  1.000 2.247 2.654 2.365 1.889 1.376 0.964 0.650
 1000  0.4564  0.234  1.0000  1.000 1.889 1.882 1.313 0.827 0.470 0.262 0.139
27 S95(rvm) Trop sulfate at RH=95 (n@550=1.34 log-norm: r_g=.16um/sigma=1.6)
  200  2.9597  0.274  1.0000  1.000 2.388 3.267 3.455 3.406 3.130 2.770 2.416
  300  2.9597  0.274  1.0000  1.000 2.388 3.267 3.455 3.406 3.130 2.770 2.416
  400  2.5459  0.274  1.0000  1.000 2.405 3.196 3.295 3.091 2.684 2.225 1.798
  600  1.6033  0.274  1.0000  1.000 2.321 2.863 2.697 2.280 1.765 1.307 0.933
 1000  0.6295  0.274  1.0000  1.000 2.029 2.143 1.637 1.126 0.701 0.427 0.249
28 S99(rvm) Trop sulfate at RH=99 (n@550=1.34 log-norm: r_g=.23um/sigma=1.6)
  200  2.9145  0.401  1.0000  1.000 2.355 3.320 3.579 3.731 3.653 3.512 3.351
  300  2.9145  0.401  1.0000  1.000 2.355 3.320 3.579 3.731 3.653 3.512 3.351
  400  2.9655  0.401  1.0000  1.000 2.420 3.355 3.617 3.630 3.409 3.086 2.750
  600  2.4165  0.401  1.0000  1.000 2.426 3.227 3.340 3.132 2.718 2.249 1.810
 1000  1.2564  0.401  1.0000  1.000 2.276 2.723 2.467 2.002 1.484 1.056 0.723
29 BC00(rvm) Black C, RH=00 (n@550=1.75-.44i log-norm: r_g=.02um/sigma=1.6)
  200  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  300  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  400  0.6229  0.035  0.1935  1.000 0.742 0.658 0.167 0.042 0.010 0.002 0.001
  600  0.3282  0.035  0.1005  1.000 0.457 0.561 0.083 0.012 0.002 0.000 0.000
 1000  0.1694  0.035  0.0304  1.000 0.208 0.514 0.034 0.002 0.000 0.000 0.000
30 BC50(rvm) Black C, RH=50 (n@550=1.75-.44i log-norm: r_g=.02um/sigma=1.6)
  200  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  300  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  400  0.6229  0.035  0.1935  1.000 0.742 0.658 0.167 0.042 0.010 0.002 0.001
  600  0.3282  0.035  0.1005  1.000 0.457 0.561 0.083 0.012 0.002 0.000 0.000
 1000  0.1694  0.035  0.0304  1.000 0.208 0.514 0.034 0.002 0.000 0.000 0.000
31 BC70(rvm) Black C, RH=70 (n@550=1.75-.44i log-norm: r_g=.02um/sigma=1.6)
  200  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  300  0.9543  0.035  0.2627  1.000 0.982 0.787 0.280 0.094 0.029 0.009 0.003
  400  0.6229  0.035  0.1935  1.000 0.742 0.658 0.167 0.042 0.010 0.002 0.001
  600  0.3282  0.035  0.1005  1.000 0.457 0.561 0.083 0.012 0.002 0.000 0.000
 1000  0.1694  0.035  0.0304  1.000 0.208 0.514 0.034 0.002 0.000 0.000 0.000
32 BC80(rvm) Black C, RH=80 (n@550=1.57-.25i log-norm: r_g=.02um/sigma=1.6)
  200  0.8137  0.042  0.3081  1.000 1.234 0.995 0.443 0.179 0.066 0.025 0.010
  300  0.8137  0.042  0.3081  1.000 1.234 0.995 0.443 0.179 0.066 0.025 0.010
  400  0.5268  0.042  0.2346  1.000 0.941 0.782 0.261 0.081 0.024 0.007 0.002
  600  0.2744  0.042  0.1306  1.000 0.581 0.611 0.124 0.024 0.005 0.001 0.000
 1000  0.1397  0.042  0.0423  1.000 0.268 0.526 0.049 0.004 0.000 0.000 0.000
33 BC90(rvm) Black C, RH=90 (n@550=1.48-.16i log-norm: r_g=.02um/sigma=1.6)
  200  0.7281  0.049  0.3790  1.000 1.442 1.211 0.629 0.293 0.125 0.054 0.023
  300  0.7281  0.049  0.3790  1.000 1.442 1.211 0.629 0.293 0.125 0.054 0.023
  400  0.4607  0.049  0.3004  1.000 1.124 0.923 0.373 0.137 0.047 0.017 0.006
  600  0.2321  0.049  0.1809  1.000 0.710 0.674 0.173 0.041 0.010 0.003 0.001
 1000  0.1137  0.049  0.0637  1.000 0.335 0.542 0.067 0.008 0.001 0.000 0.000
34 BC95(rvm) Black C, RH=95 (n@550=1.45-.13i log-norm: r_g=.02um/sigma=1.6)
  200  0.7045  0.052  0.4207  1.000 1.531 1.317 0.727 0.359 0.163 0.074 0.033
  300  0.7045  0.052  0.4207  1.000 1.531 1.317 0.727 0.359 0.163 0.074 0.033
  400  0.4397  0.052  0.3407  1.000 1.208 0.998 0.434 0.171 0.063 0.024 0.009
  600  0.2169  0.052  0.2138  1.000 0.775 0.709 0.201 0.052 0.013 0.004 0.001
 1000  0.1034  0.052  0.0791  1.000 0.371 0.552 0.077 0.010 0.001 0.000 0.000
35 BC99(rvm) Black C, RH=99 (n@550=1.39-.06i log-norm: r_g=.02um/sigma=1.6)
  200  0.7031  0.066  0.5963  1.000 1.812 1.715 1.134 0.670 0.362 0.192 0.100
  300  0.7031  0.066  0.5963  1.000 1.812 1.715 1.134 0.670 0.362 0.192 0.100
  400  0.4181  0.066  0.5233  1.000 1.500 1.304 0.706 0.345 0.155 0.070 0.031
  600  0.1882  0.066  0.3856  1.000 1.026 0.876 0.331 0.114 0.037 0.013 0.004
 1000  0.0776  0.066  0.1792  1.000 0.526 0.605 0.122 0.023 0.004 0.001 0.000
36 OC00(rvm) Organic C, RH=00 (n@550=1.53-.006i log-norm: r_g=.06um/sigma=1.6)
  200  2.1146  0.110  0.9598  1.000 2.011 2.178 1.748 1.275 0.845 0.548 0.335
  300  2.1146  0.110  0.9598  1.000 2.011 2.178 1.748 1.275 0.845 0.548 0.335
  400  1.3933  0.110  0.9735  1.000 1.883 1.858 1.319 0.850 0.490 0.283 0.150
  600  0.6094  0.110  0.9597  1.000 1.601 1.381 0.772 0.400 0.181 0.085 0.035
 1000  0.1638  0.110  0.8211  1.000 1.077 0.872 0.305 0.097 0.023 0.005 0.001
37 OC50(rvm) Organic C, RH=50 (n@550=1.44-.003i log-norm: r_g=.08um/sigma=1.6)
  200  2.2154  0.136  0.9756  1.000 2.181 2.586 2.308 1.871 1.388 0.988 0.683
  300  2.2154  0.136  0.9756  1.000 2.181 2.586 2.308 1.871 1.388 0.988 0.683
  400  1.4967  0.136  0.9841  1.000 2.078 2.279 1.844 1.347 0.892 0.572 0.352
  600  0.6910  0.136  0.9760  1.000 1.818 1.740 1.152 0.696 0.375 0.202 0.102
 1000  0.1954  0.136  0.8939  1.000 1.298 1.085 0.487 0.199 0.069 0.023 0.006
38 OC70(rvm) Organic C, RH=70 (n@550=1.41-.002i log-norm: r_g=.09um/sigma=1.6)
  200  2.2918  0.148  0.9802  1.000 2.233 2.722 2.513 2.109 1.623 1.195 0.858
  300  2.2918  0.148  0.9802  1.000 2.233 2.722 2.513 2.109 1.623 1.195 0.858
  400  1.5815  0.148  0.9873  1.000 2.141 2.428 2.051 1.562 1.081 0.722 0.463
  600  0.7466  0.148  0.9810  1.000 1.899 1.887 1.323 0.843 0.481 0.273 0.146
 1000  0.2171  0.148  0.9172  1.000 1.393 1.188 0.581 0.259 0.099 0.037 0.011
39 OC80(rvm) Organic C, RH=80 (n@550=1.40-.002i log-norm: r_g=.09um/sigma=1.6)
  200  2.3733  0.159  0.9834  1.000 2.269 2.822 2.671 2.301 1.821 1.378 1.017
  300  2.3733  0.159  0.9834  1.000 2.269 2.822 2.671 2.301 1.821 1.378 1.017
  400  1.6671  0.159  0.9895  1.000 2.189 2.547 2.223 1.749 1.253 0.863 0.573
  600  0.8093  0.159  0.9846  1.000 1.963 2.010 1.474 0.978 0.584 0.344 0.192
 1000  0.2411  0.159  0.9339  1.000 1.474 1.282 0.670 0.319 0.133 0.055 0.019
40 OC90(rvm) Organic C, RH=90 (n@550=1.38-.001i log-norm: r_g=.10um/sigma=1.6)
  200  2.5360  0.181  0.9880  1.000 2.320 2.977 2.926 2.627 2.174 1.719 1.329
  300  2.5360  0.181  0.9880  1.000 2.320 2.977 2.926 2.627 2.174 1.719 1.329
  400  1.8485  0.181  0.9927  1.000 2.263 2.744 2.524 2.092 1.586 1.151 0.808
  600  0.9479  0.181  0.9896  1.000 2.069 2.231 1.759 1.250 0.803 0.503 0.302
 1000  0.2989  0.181  0.9572  1.000 1.620 1.467 0.855 0.454 0.215 0.102 0.044
41 OC95(rvm) Organic C, RH=95 (n@550=1.36-.001i log-norm: r_g=.12um/sigma=1.6)
  200  2.7086  0.208  0.9914  1.000 2.358 3.106 3.152 2.935 2.530 2.085 1.684
  300  2.7086  0.208  0.9914  1.000 2.358 3.106 3.152 2.935 2.530 2.085 1.684
  400  2.0815  0.208  0.9950  1.000 2.323 2.921 2.811 2.443 1.949 1.486 1.098
  600  1.1367  0.208  0.9933  1.000 2.166 2.454 2.070 1.568 1.079 0.718 0.459
 1000  0.3828  0.208  0.9736  1.000 1.768 1.682 1.084 0.635 0.335 0.177 0.088
42 OC99(rvm) Organic C, RH=99 (n@550=1.340.000i log-norm: r_g=.16um/sigma=1.6)
  200  2.9673  0.278  0.9956  1.000 2.388 3.269 3.461 3.420 3.152 2.798 2.450
  300  2.9673  0.278  0.9956  1.000 2.388 3.269 3.461 3.420 3.152 2.798 2.450
  400  2.5870  0.278  0.9977  1.000 2.402 3.195 3.295 3.097 2.696 2.240 1.817
  600  1.6614  0.278  0.9973  1.000 2.321 2.869 2.710 2.297 1.784 1.326 0.951
 1000  0.6661  0.278  0.9908  1.000 2.038 2.161 1.662 1.150 0.722 0.443 0.261
43 SSa00(rvm) Sea Salt (accum), RH=00 (n@550=1.50 log-norm: r=.09um/sigma=1.5)
  200  2.5412  0.129  1.0000  1.000 2.074 2.361 1.984 1.505 1.026 0.672 0.055
  300  2.5412  0.129  1.0000  1.000 2.074 2.361 1.984 1.505 1.026 0.672 0.055
  400  1.6772  0.129  1.0000  1.000 1.974 2.025 1.499 0.989 0.575 0.051 0.023
  600  0.7067  0.129  1.0000  1.000 1.677 1.457 0.821 0.093 0.033 0.013 0.004
 1000  0.1570  0.129  0.9979  1.000 1.075 0.866 0.086 0.021 0.005 0.001 0.000
44 SSa50(rvm) Sea Salt (accum), RH=50 (n@550=1.37 log-norm: r=.14um/sigma=1.5)
  200  2.9302  0.207  1.0000  1.000 2.349 3.097 3.138 2.908 2.481 2.006 1.581
  300  2.9302  0.207  1.0000  1.000 2.349 3.097 3.138 2.908 2.481 2.006 1.581
  400  2.2339  0.207  1.0000  1.000 2.316 2.893 2.749 2.338 1.807 1.323 0.928
  600  1.1660  0.207  1.0000  1.000 2.135 2.343 1.878 1.335 0.844 0.079 0.039
 1000  0.3550  0.207  0.9996  1.000 1.660 1.475 0.836 0.094 0.034 0.013 0.005
45 SSa70(rvm) Sea Salt (accum), RH=70 (n@550=1.36 log-norm: r=.15um/sigma=1.5)
  200  3.0398  0.233  1.0000  1.000 2.375 3.195 3.318 3.173 2.807 2.362 1.944
  300  3.0398  0.233  1.0000  1.000 2.375 3.195 3.318 3.173 2.807 2.362 1.944
  400  2.4455  0.233  1.0000  1.000 2.364 3.044 3.011 2.675 2.173 1.670 1.235
  600  1.3697  0.233  1.0000  1.000 2.217 2.551 2.180 1.650 1.119 0.727 0.060
 1000  0.4508  0.233  0.9997  1.000 1.798 1.678 1.047 0.580 0.051 0.021 0.008
46 SSa80(rvm) Sea Salt (accum), RH=80 (n@550=1.35 log-norm: r=.17um/sigma=1.5)
  200  3.1035  0.256  1.0000  1.000 2.386 3.251 3.427 3.349 3.039 2.631 2.235
  300  3.1035  0.256  1.0000  1.000 2.386 3.251 3.427 3.349 3.039 2.631 2.235
  400  2.6193  0.256  1.0000  1.000 2.394 3.146 3.196 2.928 2.464 1.962 1.509
  600  1.5557  0.256  1.0000  1.000 2.274 2.709 2.424 1.923 1.374 0.935 0.081
 1000  0.5476  0.256  0.9998  1.000 1.902 1.851 1.241 0.738 0.070 0.031 0.013
47 SSa90(rvm) Sea Salt (accum), RH=90 (n@550=1.34 log-norm: r=.20um/sigma=1.5)
  200  3.1322  0.306  1.0000  1.000 2.382 3.305 3.542 3.574 3.369 3.059 2.741
  300  3.1322  0.306  1.0000  1.000 2.382 3.305 3.542 3.574 3.369 3.059 2.741
  400  2.9072  0.306  1.0000  1.000 2.426 3.284 3.460 3.322 2.952 2.489 2.042
  600  1.9502  0.306  1.0000  1.000 2.358 2.965 2.849 2.437 1.894 1.395 0.982
 1000  0.7818  0.306  0.9999  1.000 2.069 2.179 1.647 1.101 0.653 0.058 0.027
48 SSa95(rvm) Sea Salt (accum), RH=95 (n@550=1.34 log-norm: r=.25um/sigma=1.5)
